#1;#2;#3;#4;#5;#6
5;9;22;36;37;45;
3;10;28;31;36;40;
8;9;27;29;40;44;
3;18;20;29;35;43;
1;11;27;28;30;37;
13;14;34;37;38;40;
5;31;32;34;36;38;
1;20;29;34;36;43;
1;11;12;18;27;40;
12;27;29;37;41;42;
1;2;19;24;43;44;
1;9;18;34;36;41;
1;5;7;9;20;41;
1;7;21;24;27;38;
18;32;36;40;42;43;
2;24;25;28;39;40;
7;9;27;28;34;41;
2;23;32;40;41;44;
6;12;20;33;44;45;
1;3;7;13;23;42;
1;12;14;15;31;35;
5;7;16;19;23;39;
2;6;13;15;39;44;
4;8;13;21;32;35;
2;3;10;29;38;41;
6;18;22;24;32;44;
8;14;36;37;44;45;
10;15;19;22;35;37;
3;11;15;19;29;42;
17;22;27;33;35;40;
3;15;20;24;38;44;
7;17;19;21;24;25;
17;30;32;35;39;45;
13;16;18;27;36;45;
4;11;15;38;41;43;
4;16;19;36;42;45;
11;14;26;31;35;45;
2;7;17;35;38;42;
6;18;20;24;27;37;
5;18;21;26;28;40;
3;13;14;21;32;37;
2;12;14;33;34;42;
5;14;20;27;41;43;
6;14;15;30;31;40;
1;8;14;16;18;21;
5;12;23;30;33;44;
3;6;8;30;40;42;
1;9;18;21;27;33;
2;6;9;22;23;40;
5;7;20;24;27;36;
10;15;16;20;33;38;
2;11;13;22;35;44;
2;3;10;27;38;42;
11;21;22;24;25;29;
9;13;25;28;40;44;
6;11;27;28;32;38;
3;9;13;28;31;36;
3;6;18;24;39;44;
3;5;10;24;25;31;
6;16;22;25;31;40;
1;2;7;10;18;31;
2;10;26;38;44;45;
13;27;30;35;40;45;
3;10;31;39;40;44;
9;14;23;25;27;43;
15;27;37;39;40;45;
10;12;24;29;33;45;
7;10;17;21;29;33;
11;14;27;29;33;39;
11;18;23;24;35;37;
2;9;12;22;28;36;
13;21;23;26;34;43;
5;8;10;30;32;34;
3;7;11;32;35;44;
13;19;32;37;38;44;
11;16;20;21;36;37;
8;15;20;37;38;40;
3;15;21;33;39;42;
1;15;18;22;40;43;
13;20;26;27;38;45;
7;15;32;36;39;40;
2;3;21;26;37;40;
16;19;22;24;32;41;
3;5;6;24;27;30;
3;10;15;20;28;41;
11;21;32;38;42;45;
6;26;40;41;42;44;
7;9;22;25;27;45;
4;10;15;19;34;44;
5;6;8;13;20;35;
12;22;36;37;39;43;
13;15;17;18;39;44;
10;15;29;32;39;40;
7;9;16;17;29;45;
3;6;7;16;32;33;
2;8;10;25;28;40;
9;12;17;27;33;39;
1;11;16;17;30;42;
6;11;26;30;31;42;
11;20;36;38;39;41;
1;4;20;26;34;38;
4;12;22;24;34;45;
6;15;16;26;31;34;
7;12;15;16;21;29;
13;21;26;29;34;36;
9;17;21;26;28;41;
2;11;18;36;40;41;
6;7;11;14;38;43;
13;18;23;27;34;35;
7;23;24;25;37;44;
19;26;27;39;41;42;
13;14;18;20;40;44;
5;6;22;26;30;45;
2;7;10;13;23;43;
2;6;8;14;23;24;
8;11;18;29;36;37;
11;12;18;27;31;43;
11;12;20;31;42;43;
13;15;24;30;35;43;
3;6;10;15;42;43;
4;18;24;29;35;45;
12;13;28;38;42;45;
1;16;26;29;30;43;
4;5;7;12;32;33;
4;8;12;22;39;45;
12;15;24;32;42;45;
16;23;26;30;33;43;
1;6;7;14;23;24;
2;11;30;34;37;39;
1;7;12;13;22;29;
4;14;17;28;33;41;
9;14;16;26;34;38;
7;16;21;29;30;42;
1;4;10;13;15;19;
7;13;34;40;43;45;
3;11;12;32;33;44;
5;7;21;23;28;32;
6;16;22;23;24;43;
8;9;17;22;23;42;
1;5;19;32;37;38;
8;9;10;19;35;45;
14;18;20;23;33;42;
4;8;10;12;28;38;
12;13;21;26;32;33;
1;6;12;28;32;36;
13;24;32;33;36;42;
6;15;29;35;38;43;
2;10;18;23;27;33;
7;9;20;22;38;42;
3;19;20;28;35;37;
1;2;14;15;27;38;
5;9;12;20;31;33;
3;6;8;17;24;30;
10;19;30;39;43;45;
8;14;16;26;34;36;
2;10;17;27;28;44;
15;18;20;23;34;42;
13;25;27;35;36;43;
9;15;23;28;33;40;
2;20;26;33;44;45;
1;16;22;23;43;45;
7;14;22;39;40;42;
8;16;22;28;34;40;
18;23;26;33;35;36;
1;2;16;20;27;33;
6;15;20;24;38;40;
9;14;23;32;40;43;
1;7;14;43;44;45;
6;9;11;14;18;30;
12;13;19;30;34;45;
16;17;19;20;34;35;
4;23;26;35;39;40;
11;32;40;41;42;45;
1;5;11;25;40;41;
3;27;33;34;35;39;
7;12;20;32;38;43;
5;21;29;33;39;43;
1;5;17;21;26;34;
10;16;18;28;29;36;
1;8;23;24;33;36;
2;11;21;35;41;43;
7;9;13;21;28;36;
10;11;22;35;40;44;
10;16;17;26;28;43;
2;29;31;33;40;43;
4;6;15;19;32;37;
7;18;19;31;35;39;
7;10;15;16;24;44;
9;10;22;26;31;34;
3;4;7;9;32;43;
2;19;20;26;30;31;
5;6;8;12;33;35;
6;9;20;21;27;39;
6;11;20;26;35;40;
4;10;25;35;39;45;
10;11;18;21;22;37;
6;8;11;21;30;37;
