#min ev;max ev;ad_tax;ad_taxd
1901;2010;18.8;1932-12

#min ev;max ev;ay_ssx;ay_ssxd
1901;2010;2379.2;1961
1901;2010;2350.1;2007
1901;2010;2314.9;1930
1901;2010;2299.1;1946
1901;2010;2294.5;1967
1901;2010;2283.1;1935
1901;2010;2282.2;2003
1901;2010;2275.5;1943
1901;2010;2265.1;1932
1901;2010;2257.8;1963

#min ev;max ev;ay_ssn;ay_ssnd
1901;2010;539.1;1991
1901;2010;1688.2;1980
1901;2010;1705.4;1978
1901;2010;1714.6;1970
1901;2010;1790.3;1984
1901;2010;1799.5;1974
1901;2010;1806.9;1955
1901;2010;1815.6;1941
1901;2010;1828.8;1971
1901;2010;1831.6;1985
